# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	21342
#@/user_id	4a724b77-b474-4a53-8ab8-27f5bbc0adee
dsnc 	奇怪	c=4 d=1 t=19948
dt 	帮	c=10 d=1 t=20757
dtjf 	故里	c=1 d=1.02249 t=17220
dtny 	帮忙	c=1 d=1 t=18944
dtrt 	帮手	c=1 d=1 t=1648
dtuj 	故意	c=3 d=0.1 t=19654
dtxt 	故乡	c=2 d=1.63763 t=8808
dty 	故	c=6 d=1.00001 t=19653
duo 	碰	c=1 d=1 t=9882
dw 	春	c=2 d=1.00027 t=12163
dwab 	春节	c=2 d=1.99501 t=3857
dwgd 	春天	c=1 d=1 t=12173
dwiu 	泰	c=3 d=1.94176 t=21216
dwj 	春	c=1 d=1 t=13321
dwkd 	泰顺	c=2 d=1.8311 t=662
dx 	龙	c=6 d=1.04482 t=17639
dxud 	龙头	c=5 d=1.03246 t=15767
dy 	太	c=36 d=2.37058 t=20934
dybj 	太阳	c=3 d=2.05353 t=14164
dyse 	太极	c=2 d=1.55711 t=15926
dyt 	矿	c=3 d=2.92712 t=15495
dyw 	碎	c=1 d=1 t=18666
dyya 	态度	c=1 d=1 t=11390
eb 	服	c=2 d=1 t=20149
ebf 	孕	c=1 d=1 t=13146
eblq 	服软	c=2 d=1.94649 t=1524
ebtl 	服务	c=1 d=1 t=333
ebtm 	服役	c=2 d=1.48919 t=396
ebuf 	服装	c=1 d=1 t=768
eck 	胎	c=4 d=1 t=20202
edm 	须	c=1 d=1 t=18618
eedc 	朋友	c=3 d=1.00064 t=14007
eee 	月	c=12 d=1.73495 t=19262
eeee 	月	c=10 d=1 t=19937
eeww 	月份	c=2 d=1 t=19941
efbb 	肚子	c=5 d=1.18256 t=18531
efcb 	脚	c=4 d=1.84789 t=13169
efg 	肚	c=2 d=1 t=18522
egat 	助攻	c=2 d=1 t=15772
egc 	县	c=29 d=7.66473 t=18136
egl 	助	c=1 d=1 t=389
ejbb 	胆子	c=2 d=1 t=14494
ejg 	胆	c=1 d=1 t=18760
em 	肌	c=1 d=1 t=4220
emai 	股东	c=1 d=1 t=4673
emc 	股	c=18 d=3.78811 t=20531
emsf 	股票	c=11 d=1 t=20321
emym 	股市	c=3 d=1.00011 t=19228
eo 	膦	c=1 d=1 t=10762
ep 	爱	c=14 d=1.10076 t=19908
epc 	受	c=2 d=1 t=20228
eslr 	腰斩	c=1 d=1 t=13767
esug 	膝盖	c=2 d=1.956 t=3922
esv 	腰	c=1 d=1 t=20603
et 	用	c=57 d=1.19764 t=21342
etg 	胜	c=1 d=1 t=6468
etyn 	用户	c=4 d=3.48522 t=21100
eud 	腾	c=2 d=1.15645 t=5625
euf 	胖	c=2 d=1 t=21146
eufy 	胖墩	c=1 d=1 t=7610
euiq 	脱光	c=1 d=1 t=513
euk 	脱	c=3 d=1.00008 t=7132
euyn 	腾讯	c=7 d=1.99501 t=16942
ev 	妥	c=12 d=1.12116 t=21101
evfl 	妥协	c=1 d=1 t=11192
ew 	脸	c=3 d=1 t=16062
ey 	及	c=1 d=1 t=606
eyad 	及其	c=1 d=1 t=9659
